Player,bbref_id,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa\achiupr01,achiupr01,PF,21,MIA,61,4,12.08196721,2.032786885,3.737704918,0.543859649,0,0.016393443,0,2.032786885,3.721311475,0.546255507,0.918032787,1.803278689,0.509090909,1.196721311,2.213114754,3.409836066,0.475409836,0.327868852,0.459016393,0.704918033,1.491803279,4.983606557
Jaylen Adams\adamsja01,adamsja01,PG,24,MIL,7,0,2.571428571,0.142857143,1.142857143,0.125,0,0.285714286,0,0.142857143,0.857142857,0.166666667,0,0,0,0,0.428571429,0.428571429,0.285714286,0,0,0,0.142857143,0.285714286
Steven Adams\adamsst01,adamsst01,C,27,NOP,58,58,27.67241379,3.25862069,5.310344828,0.613636364,0,0.051724138,0,3.25862069,5.25862069,0.619672131,1.034482759,2.327586207,0.444444444,3.672413793,5.189655172,8.862068966,1.913793103,0.931034483,0.655172414,1.344827586,1.948275862,7.551724138
Bam Adebayo\adebaba01,adebaba01,C,23,MIA,64,64,33.484375,7.125,12.5,0.57,0.03125,0.125,0.25,7.09375,12.375,0.573232323,4.421875,5.53125,0.799435028,2.21875,6.734375,8.953125,5.40625,1.171875,1.03125,2.640625,2.265625,18.703125
LaMarcus Aldridge\aldrila01,aldrila01,C,35,TOT,52,46,25.92307692,5.384615385,11.38461538,0.472972973,1.192307692,3.076923077,0.3875,4.192307692,8.307692308,0.50462963,1.576923077,1.807692308,0.872340426,0.730769231,3.807692308,4.538461538,1.884615385,0.423076923,1.115384615,1.038461538,1.807692308,13.53846154
Ty-Shon Alexander\alexaty01,alexaty01,SG,22,PHO,15,0,3.133333333,0.2,0.8,0.25,0.133333333,0.6,0.222222222,0.066666667,0.2,0.333333333,0.066666667,0.133333333,0.5,0.133333333,0.533333333,0.666666667,0.4,0,0.066666667,0.2,0.133333333,0.6
Nickeil Alexander-Walker\alexani01,alexani01,SG,22,NOP,46,13,21.89130435,4.173913043,9.956521739,0.419213974,1.652173913,4.760869565,0.347031963,2.52173913,5.195652174,0.485355649,1.043478261,1.434782609,0.727272727,0.282608696,2.847826087,3.130434783,2.217391304,1.02173913,0.47826087,1.5,1.913043478,11.04347826
Grayson Allen\allengr01,allengr01,SG,25,MEM,50,38,25.18,3.46,8.28,0.417874396,2.14,5.48,0.390510949,1.32,2.8,0.471428571,1.58,1.82,0.868131868,0.38,2.82,3.2,2.16,0.92,0.16,0.96,1.42,10.64
Jarrett Allen\allenja01,allenja01,C,22,TOT,126,90,29.58730159,4.73015873,7.650793651,0.618257261,0.095238095,0.301587302,0.315789474,4.634920635,7.349206349,0.630669546,3.238095238,4.603174603,0.703448276,3.111111111,6.904761905,10.01587302,1.682539683,0.507936508,1.428571429,1.587301587,1.523809524,12.79365079
Al-Farouq Aminu\aminual01,aminual01,PF,30,TOT,46,28,18.86956522,1.652173913,4.304347826,0.383838384,0.347826087,1.608695652,0.216216216,1.304347826,2.695652174,0.483870968,0.782608696,0.956521739,0.818181818,0.956521739,3.826086957,4.782608696,1.347826087,0.826086957,0.391304348,1.217391304,1.260869565,4.434782609
Kyle Anderson\anderky01,anderky01,PF,27,MEM,69,69,27.34782609,4.463768116,9.536231884,0.468085106,1.362318841,3.782608696,0.360153257,3.101449275,5.753623188,0.539042821,2.086956522,2.666666667,0.782608696,0.753623188,4.985507246,5.739130435,3.623188406,1.217391304,0.826086957,1.246376812,1.739130435,12.37681159
Giannis Antetokounmpo\antetgi01,antetgi01,PF,26,MIL,61,61,33,10.26229508,18.03278689,0.569090909,1.098360656,3.62295082,0.303167421,9.163934426,14.40983607,0.635949943,6.524590164,9.524590164,0.685025818,1.590163934,9.409836066,11,5.852459016,1.180327869,1.196721311,3.393442623,2.754098361,28.14754098
Kostas Antetokounmpo\antetko01,antetko01,PF,23,LAL,15,0,3.733333333,0.2,0.666666667,0.3,0,0,0,0.2,0.666666667,0.3,0.4,0.866666667,0.461538462,0.266666667,1,1.266666667,0.066666667,0.133333333,0.266666667,0.733333333,0.533333333,0.8
Thanasis Antetokounmpo\antetth01,antetth01,SF,28,MIL,57,3,9.666666667,1.175438596,2.403508772,0.489051095,0.122807018,0.50877193,0.24137931,1.052631579,1.894736842,0.555555556,0.438596491,0.859649123,0.510204082,0.947368421,1.228070175,2.175438596,0.807017544,0.385964912,0.175438596,0.754385965,1.298245614,2.912280702
Carmelo Anthony\anthoca01,anthoca01,PF,36,POR,69,3,24.49275362,4.739130435,11.26086957,0.420849421,1.927536232,4.710144928,0.409230769,2.811594203,6.550724638,0.42920354,1.985507246,2.231884058,0.88961039,0.463768116,2.637681159,3.101449275,1.507246377,0.666666667,0.550724638,0.884057971,2.086956522,13.39130435
Cole Anthony\anthoco01,anthoco01,PG,20,ORL,47,34,27.08510638,4.659574468,11.74468085,0.39673913,1.234042553,3.659574468,0.337209302,3.425531915,8.085106383,0.423684211,2.319148936,2.787234043,0.832061069,0.808510638,3.893617021,4.70212766,4.085106383,0.638297872,0.382978723,2.255319149,2.085106383,12.87234043
OG Anunoby\anunoog01,anunoog01,SF,23,TOR,43,43,33.3255814,5.790697674,12.06976744,0.479768786,2.418604651,6.069767442,0.398467433,3.372093023,6,0.562015504,1.860465116,2.372093023,0.784313725,1.255813953,4.255813953,5.511627907,2.186046512,1.534883721,0.744186047,1.744186047,2.651162791,15.86046512
Ryan Arcidiacono\arcidry01,arcidry01,PG,26,CHI,44,0,10.22727273,1.113636364,2.659090909,0.418803419,0.568181818,1.522727273,0.373134328,0.545454545,1.136363636,0.48,0.295454545,0.454545455,0.65,0.113636364,1.409090909,1.522727273,1.272727273,0.204545455,0,0.227272727,1.068181818,3.090909091
Trevor Ariza\arizatr01,arizatr01,SF,35,MIA,30,27,28.03333333,3.3,8.033333333,0.410788382,1.666666667,4.766666667,0.34965035,1.633333333,3.266666667,0.5,1.133333333,1.466666667,0.772727273,0.9,3.9,4.8,1.833333333,1.033333333,0.6,0.7,1.833333333,9.4
D.J. Augustin\augusdj01,augusdj01,PG,33,TOT,114,24,19.80701754,2.368421053,6.01754386,0.393586006,1.456140351,3.807017544,0.382488479,0.912280702,2.210526316,0.412698413,1.49122807,1.649122807,0.904255319,0.350877193,1.298245614,1.649122807,3.298245614,0.49122807,0.01754386,1.140350877,0.98245614,7.684210526
Deni Avdija\avdijde01,avdijde01,SF,20,WAS,54,32,23.27777778,2.407407407,5.777777778,0.416666667,0.981481481,3.111111111,0.31547619,1.425925926,2.666666667,0.534722222,0.537037037,0.833333333,0.644444444,0.407407407,4.444444444,4.851851852,1.166666667,0.592592593,0.277777778,0.611111111,2.592592593,6.333333333
Deandre Ayton\aytonde01,aytonde01,C,22,PHO,69,69,30.65217391,6.231884058,9.956521739,0.625909753,0.057971014,0.289855072,0.2,6.173913043,9.666666667,0.63868066,1.927536232,2.507246377,0.768786127,3.304347826,7.231884058,10.53623188,1.434782609,0.594202899,1.173913043,1.492753623,2.84057971,14.44927536
Udoka Azubuike\azubuud01,azubuud01,C,21,UTA,15,0,3.8,0.266666667,0.6,0.444444444,0,0,0,0.266666667,0.6,0.444444444,0.533333333,0.666666667,0.8,0.266666667,0.6,0.866666667,0,0.066666667,0.266666667,0.2,0.6,1.066666667
Dwayne Bacon\bacondw01,bacondw01,SG,25,ORL,72,50,25.73611111,4.055555556,10.08333333,0.402203857,0.819444444,2.875,0.285024155,3.236111111,7.208333333,0.44894027,2.013888889,2.444444444,0.823863636,0.430555556,2.680555556,3.111111111,1.291666667,0.625,0.069444444,0.638888889,1.430555556,10.94444444
Marvin Bagley III\baglema01,baglema01,PF,21,SAC,43,42,25.86046512,5.744186047,11.39534884,0.504081633,0.860465116,2.511627907,0.342592593,4.88372093,8.88372093,0.54973822,1.790697674,3.11627907,0.574626866,2.465116279,4.930232558,7.395348837,1,0.488372093,0.488372093,1.372093023,2.325581395,14.13953488
LaMelo Ball\ballla01,ballla01,PG,19,CHO,51,31,28.80392157,5.745098039,13.17647059,0.436011905,1.803921569,5.117647059,0.352490421,3.941176471,8.058823529,0.489051095,2.450980392,3.235294118,0.757575758,1.235294118,4.68627451,5.921568627,6.137254902,1.588235294,0.352941176,2.843137255,2.666666667,15.74509804
Lonzo Ball\balllo01,balllo01,PG,23,NOP,55,55,31.76363636,5.272727273,12.72727273,0.414285714,3.127272727,8.272727273,0.378021978,2.145454545,4.454545455,0.481632653,0.909090909,1.163636364,0.78125,0.6,4.181818182,4.781818182,5.745454545,1.490909091,0.563636364,2.236363636,1.872727273,14.58181818
Mo Bamba\bambamo01,bambamo01,C,22,ORL,46,5,15.76086957,3.086956522,6.543478261,0.471760797,0.826086957,2.565217391,0.322033898,2.260869565,3.97826087,0.568306011,0.97826087,1.434782609,0.681818182,1.652173913,4.108695652,5.760869565,0.760869565,0.304347826,1.260869565,0.782608696,1.891304348,7.97826087
Desmond Bane\banede01,banede01,SG,22,MEM,68,17,22.33823529,3.441176471,7.338235294,0.468937876,1.720588235,3.985294118,0.431734317,1.720588235,3.352941176,0.513157895,0.588235294,0.720588235,0.816326531,0.455882353,2.632352941,3.088235294,1.735294118,0.602941176,0.235294118,0.867647059,1.838235294,9.191176471
Harrison Barnes\barneha02,barneha02,PF,28,SAC,58,58,36.24137931,5.5,11.06896552,0.496884735,1.724137931,4.413793103,0.390625,3.775862069,6.655172414,0.567357513,3.362068966,4.051724138,0.829787234,1.103448276,5.534482759,6.637931034,3.465517241,0.74137931,0.189655172,1.603448276,1.293103448,16.0862069
RJ Barrett\barrerj01,barrerj01,SG,20,NYK,72,72,34.875,6.486111111,14.72222222,0.440566038,1.722222222,4.291666667,0.401294498,4.763888889,10.43055556,0.456724368,2.861111111,3.833333333,0.746376812,0.944444444,4.805555556,5.75,3.013888889,0.736111111,0.277777778,1.930555556,2.611111111,17.55555556
